atomic_number,symbol,name,category,phase,source_page,image_url,original_file,retouched_file,status,description,attribution,license,width,height,license_url,retouch_method,sha256_original,retouched_width,retouched_height,retrieved_date
52,Te,Tellurium,metalloid,Solid,https://images-of-elements.com/tellurium.php,https://images-of-elements.com/tellurium.jpg,originals/052_Te_Tellurium.jpg,photos/052_Te_Tellurium.png,specimen_photo,Tellurium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1170,1170,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,120ce5ea4bf62c835911f823c24bb766165f74fcf2840af6f52c25dcfcc734a7,1254,1254,2026-09-05
53,I,Iodine,diatomic nonmetal,Solid,https://images-of-elements.com/iodine.php,https://images-of-elements.com/iodine.jpg,originals/053_I_Iodine.jpg,photos/053_I_Iodine.png,specimen_photo,Iodine crystals,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1024,1024,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,190f3900b6f15859a889b9e2a02a510460883c6502e5675be2bcb0bab150f9a0,1254,1254,2026-09-05
54,Xe,Xenon,noble gas,Gas,https://images-of-elements.com/xenon.php,https://images-of-elements.com/xenon.jpg,originals/054_Xe_Xenon.jpg,photos/054_Xe_Xenon.png,gas_discharge_photo,Electrically excited xenon in a sealed vial; glow is not its ordinary appearance.,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1140,1140,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,ab2ca42762882b46db0674a0ad0939f88ba81d3eaac6f5d4b6e30f5a1778331c,1254,1254,2026-09-05
55,Cs,Cesium,alkali metal,Solid,https://images-of-elements.com/caesium.php,https://images-of-elements.com/caesium.jpg,originals/055_Cs_Cesium.jpg,photos/055_Cs_Cesium.png,specimen_photo,Caesium 4 images,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1800,1800,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,a239d94936dd27efdcf522762f77a00536553702fd50995392073824f690cfa9,1254,1254,2026-09-05
56,Ba,Barium,alkaline earth metal,Solid,https://images-of-elements.com/barium.php,https://images-of-elements.com/barium.jpg,originals/056_Ba_Barium.jpg,photos/056_Ba_Barium.png,specimen_photo,Barium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,710,710,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,2457d76b199a53f7f160ec1fcc709124dbaffbbfd9e3c23f2904c0cbec479813,1254,1254,2026-09-05
57,La,Lanthanum,lanthanide,Solid,https://images-of-elements.com/lanthanum.php,https://images-of-elements.com/lanthanum.jpg,originals/057_La_Lanthanum.jpg,photos/057_La_Lanthanum.png,specimen_photo,Lanthanum,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,672,672,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,2f513781f698311fa6989c7485e5fd216d37778c4926970bbf7e5123df2ddbb6,1254,1254,2026-09-05
58,Ce,Cerium,lanthanide,Solid,https://images-of-elements.com/cerium.php,https://images-of-elements.com/cerium.jpg,originals/058_Ce_Cerium.jpg,photos/058_Ce_Cerium.png,specimen_photo,Cerium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,788,788,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,4f3b084df1851412129d463fe7c8957e0ef86261af54de28b1fbdd98fbe83247,1254,1254,2026-09-05
59,Pr,Praseodymium,lanthanide,Solid,https://images-of-elements.com/praseodymium.php,https://images-of-elements.com/praseodymium.jpg,originals/059_Pr_Praseodymium.jpg,photos/059_Pr_Praseodymium.png,specimen_photo,Praseodymium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,848,848,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,3ba01ef32743cea18e6e43d5649d3ba949aeb5cbbf4e3f29d1ef39f33a40237e,1254,1254,2026-09-05
60,Nd,Neodymium,lanthanide,Solid,https://images-of-elements.com/neodymium.php,https://images-of-elements.com/neodymium.jpg,originals/060_Nd_Neodymium.jpg,photos/060_Nd_Neodymium.png,specimen_photo,Neodymium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,782,782,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,8047a1af6926288d27bb17b6133d533965a05ed16435987f0039e6e00954b6ad,1254,1254,2026-09-05
61,Pm,Promethium,lanthanide,Solid,https://images-of-elements.com/promethium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
62,Sm,Samarium,lanthanide,Solid,https://images-of-elements.com/samarium.php,https://images-of-elements.com/samarium.jpg,originals/062_Sm_Samarium.jpg,photos/062_Sm_Samarium.png,specimen_photo,Samarium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,894,894,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,2daf9f65a93c7ca8b23b17b8e2125ba055dd59a4605931c84207b6375c59b9b4,1254,1254,2026-09-05
63,Eu,Europium,lanthanide,Solid,https://images-of-elements.com/europium.php,https://images-of-elements.com/europium.jpg,originals/063_Eu_Europium.jpg,photos/063_Eu_Europium.png,specimen_photo,Strongly oxidized europium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,972,972,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,84c15531f4f43421206c59207903b10cc7c77efcbfd6c215710f474bebf69ce2,1254,1254,2026-09-05
64,Gd,Gadolinium,lanthanide,Solid,https://images-of-elements.com/gadolinium.php,https://images-of-elements.com/gadolinium.jpg,originals/064_Gd_Gadolinium.jpg,photos/064_Gd_Gadolinium.png,specimen_photo,Gadolinium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1036,1036,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,b53a99e772538f93f367385363e7ac3a5d8f5ccd409b00c578ab725540ac0609,1254,1254,2026-09-05
65,Tb,Terbium,lanthanide,Solid,https://images-of-elements.com/terbium.php,https://images-of-elements.com/terbium.jpg,originals/065_Tb_Terbium.jpg,photos/065_Tb_Terbium.png,specimen_photo,Terbium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,704,704,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,320b666c24299b777cdcf4caf6b338693284885794b20d8c6c00a4a793957bc8,1254,1254,2026-09-05
66,Dy,Dysprosium,lanthanide,Solid,https://images-of-elements.com/dysprosium.php,https://images-of-elements.com/dysprosium-2.jpg,originals/066_Dy_Dysprosium.jpg,photos/066_Dy_Dysprosium.png,specimen_photo,Dysprodium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1108,1108,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,9422c5daf632e4a5e85f6434a6877f874373b7ff4a74e06097e93780874d1d52,1254,1254,2026-09-05
67,Ho,Holmium,lanthanide,Solid,https://images-of-elements.com/holmium.php,https://images-of-elements.com/holmium.jpg,originals/067_Ho_Holmium.jpg,photos/067_Ho_Holmium.png,specimen_photo,Holmium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,992,992,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,893a3542c711e682f322572513bafafdc9d397f5d560e4f218b27ec661f9cebf,1254,1254,2026-09-05
68,Er,Erbium,lanthanide,Solid,https://images-of-elements.com/erbium.php,https://images-of-elements.com/erbium.jpg,originals/068_Er_Erbium.jpg,photos/068_Er_Erbium.png,specimen_photo,Erbium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1056,1056,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,861872625b91c7b20cc454dd39fe546de7fb6c59e4be38bc9834147b6b1901a1,1254,1254,2026-09-05
69,Tm,Thulium,lanthanide,Solid,https://images-of-elements.com/thulium.php,https://images-of-elements.com/thulium.jpg,originals/069_Tm_Thulium.jpg,photos/069_Tm_Thulium.png,specimen_photo,Thulium front,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1460,1460,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,c3defffec614737d8473134b04595df7ce5c3b5e528e4bb61c827e135bbdb09b,1254,1254,2026-09-05
70,Yb,Ytterbium,lanthanide,Solid,https://images-of-elements.com/ytterbium.php,https://images-of-elements.com/ytterbium.jpg,originals/070_Yb_Ytterbium.jpg,photos/070_Yb_Ytterbium.png,specimen_photo,Ytterbium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,812,812,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,f659432829bff6b4eb62337fcdf6ce7148596e34252ce234106e4352ecc54147,1254,1254,2026-09-05
71,Lu,Lutetium,lanthanide,Solid,https://images-of-elements.com/lutetium.php,https://images-of-elements.com/lutetium.jpg,originals/071_Lu_Lutetium.jpg,photos/071_Lu_Lutetium.png,specimen_photo,Lutetium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,788,788,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,67beadc103fc83efcb40a89242679751d044a505dca63cfe001143a2d9447f3c,1254,1254,2026-09-05
72,Hf,Hafnium,transition metal,Solid,https://images-of-elements.com/hafnium.php,https://images-of-elements.com/hafnium.jpg,originals/072_Hf_Hafnium.jpg,photos/072_Hf_Hafnium.png,specimen_photo,Hafnium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1240,1240,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,9c2897e0d92e8b6ddbaa581283b821d276b34ef97eb48b17f15fc8917d1d5403,1254,1254,2026-09-05
73,Ta,Tantalum,transition metal,Solid,https://images-of-elements.com/tantalum.php,https://images-of-elements.com/tantalum.jpg,originals/073_Ta_Tantalum.jpg,photos/073_Ta_Tantalum.png,specimen_photo,Tantalum,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1132,1132,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,77adfbb31051ac8e28f78680da79859e14a409d95e1ce704cdd3602dadcc5567,1254,1254,2026-09-05
74,W,Tungsten,transition metal,Solid,https://images-of-elements.com/tungsten.php,https://images-of-elements.com/tungsten-rod.jpg,originals/074_W_Tungsten.jpg,photos/074_W_Tungsten.png,specimen_photo,Tungsten rod,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1160,1160,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,7bb3f02fd1ad84614b0052659857d91dc1019bccfda2a45fd91f21790eb37355,1254,1254,2026-09-05
75,Re,Rhenium,transition metal,Solid,https://images-of-elements.com/rhenium.php,https://images-of-elements.com/rhenium-3.jpg,originals/075_Re_Rhenium.jpg,photos/075_Re_Rhenium.png,specimen_photo,Rhenium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,676,676,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,fcf32e71909591a09d7ebe52a4f7344a47e66bc2c271ca2bdaee506ccde50c34,1254,1254,2026-09-05
76,Os,Osmium,transition metal,Solid,https://images-of-elements.com/osmium.php,https://images-of-elements.com/osmium.jpg,originals/076_Os_Osmium.jpg,photos/076_Os_Osmium.png,specimen_photo,Osmium ,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,452,452,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,bbdecf95b634924fbd97769d2217f8fc559ac126a6137000c316ff82755a7824,1254,1254,2026-09-05
77,Ir,Iridium,transition metal,Solid,https://images-of-elements.com/iridium.php,https://images-of-elements.com/iridium.jpg,originals/077_Ir_Iridium.jpg,photos/077_Ir_Iridium.png,specimen_photo,Iridium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,778,778,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,572303ee214a9087a42fc239edf4970da2fc1698270fb32c4b88e8227444c1bf,1254,1254,2026-09-05
78,Pt,Platinum,transition metal,Solid,https://images-of-elements.com/platinum.php,https://images-of-elements.com/platinum.jpg,originals/078_Pt_Platinum.jpg,photos/078_Pt_Platinum.png,specimen_photo,Platinum,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,752,752,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,11a8db874706f8fb71b323d57fdb5c43dd445cc0e9905f406df59d31f65e5bac,1254,1254,2026-09-05
79,Au,Gold,transition metal,Solid,https://images-of-elements.com/gold.php,https://images-of-elements.com/gold.jpg,originals/079_Au_Gold.jpg,photos/079_Au_Gold.png,specimen_photo,Gold leaves,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1380,1380,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,e18a47a87de0baf891d1385f94e09560cee335973b87e3b094c1ad94489be4c7,1254,1254,2026-09-05
80,Hg,Mercury,transition metal,Liquid,https://images-of-elements.com/mercury.php,https://images-of-elements.com/hydrargyrum.jpg,originals/080_Hg_Mercury.jpg,photos/080_Hg_Mercury.png,specimen_photo,Mercury,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,800,800,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,44d56a2076deb7a89f12f1e1d47b69f3c6aa22d67d96f2086c0c760a5ee0c1ec,1254,1254,2026-09-05
81,Tl,Thallium,post-transition metal,Solid,https://images-of-elements.com/thallium.php,https://images-of-elements.com/thallium.jpg,originals/081_Tl_Thallium.jpg,photos/081_Tl_Thallium.png,specimen_photo,Thallium,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,800,800,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,96af7cedacb3efec7171917b1bfb0539647f703c7306e09c9e634ac4a8627eb5,1254,1254,2026-09-05
82,Pb,Lead,post-transition metal,Solid,https://images-of-elements.com/lead.php,https://images-of-elements.com/lead.jpg,originals/082_Pb_Lead.jpg,photos/082_Pb_Lead.png,specimen_photo,Lead bead,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1076,1076,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,57c0d09e47d8ed34beda7cf1860dd9e7e496de78aaf3d1e478fbed557c8c1e20,1254,1254,2026-09-05
83,Bi,Bismuth,post-transition metal,Solid,https://images-of-elements.com/bismuth.php,https://images-of-elements.com/bismuth.jpg,originals/083_Bi_Bismuth.jpg,photos/083_Bi_Bismuth.png,specimen_photo,Bismuth,Chemical Elements — A Virtual Museum / images-of-elements.com,CC BY 3.0,1059,1059,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,6e89f80e44a6aa67f6cb7eb861316fdffd0c300b2f68246e52f2838ee64ec33a,1254,1254,2026-09-05
84,Po,Polonium,post-transition metal,Solid,https://images-of-elements.com/polonium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
85,At,Astatine,metalloid,Solid,https://images-of-elements.com/astatine.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
86,Rn,Radon,noble gas,Gas,https://images-of-elements.com/radon.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
87,Fr,Francium,alkali metal,Solid,https://images-of-elements.com/francium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
88,Ra,Radium,alkaline earth metal,Solid,https://images-of-elements.com/radium.php,,,,no_sample_photo,"Source shows a compound or application, not a visible elemental specimen; excluded.",,,0,0,,,,0,0,2026-09-05
89,Ac,Actinium,actinide,Solid,https://www.ornl.gov/content/ised-media-library,https://www.ornl.gov/sites/default/files/2021-03/ac225vial.jpg,originals/089_Ac_Actinium.jpg,photos/089_Ac_Actinium.png,radioisotope_sample_photo,Actinium-225 sample in a vial. The surrounding medium glows under radiation; this is not a macroscopic piece of actinium metal.,Oak Ridge National Laboratory / U.S. Department of Energy,CC BY 2.0,2400,3000,https://creativecommons.org/licenses/by/2.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,6c4ad87e1cc582862b0f0d3b6218ef2b2ff0d6a34af97c31974ebfdd5cb00412,1254,1254,2026-09-05
90,Th,Thorium,actinide,Solid,https://woelen.homescience.net/science/chem/compounds/thorium.html,https://woelen.homescience.net/science/chem/compounds/thorium.jpg,originals/090_Th_Thorium.jpg,photos/090_Th_Thorium.png,specimen_photo,Corroded thorium metal in a sealed glass ampoule.,W. Oelen,CC BY-SA 3.0,750,500,https://creativecommons.org/licenses/by-sa/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,581fc253d989abc96416997ddb6ea0632a84357a74f8aa95caafc96f06f381ac,1254,1254,2026-09-05
91,Pa,Protactinium,actinide,Solid,https://images-of-elements.com/protactinium.php,https://images-of-elements.com/s/protactinium-231.jpg,originals/091_Pa_Protactinium.jpg,photos/091_Pa_Protactinium.png,archival_specimen_photo,Archival photograph of a protactinium crystal; strong source lighting color cast.,"© European Union — The Actinide Group, Institute for Transuranium Elements (JRC-ITU); reproduced by Chemical Elements — A Virtual Museum",EU copyright; no image-specific Creative Commons license stated on source,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,63a72eb10d80e835da48b98562f0c8c48d9ccba9698a8dd94b208f827073387f,1254,1254,2026-09-05
92,U,Uranium,actinide,Solid,https://images-of-elements.com/uranium.php,https://images-of-elements.com/s/uranium.jpg,originals/092_U_Uranium.jpg,photos/092_U_Uranium.png,specimen_photo,"Depleted uranium metal specimen, showing surface oxidation.",Public-domain photo reproduced by Chemical Elements — A Virtual Museum,Public domain,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,6a9b49985b28456c324f357e24a5aecddbc875c923db6f11aee37dded72c9172,1254,1254,2026-09-05
93,Np,Neptunium,actinide,Solid,https://images-of-elements.com/neptunium.php,https://images-of-elements.com/s/neptunium.jpg,originals/093_Np_Neptunium.jpg,photos/093_Np_Neptunium.png,specimen_photo,"Neptunium-237 metal sphere in laboratory apparatus, approximately 6 kg.","Los Alamos National Laboratory, 2002; public-domain photo",Public domain,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,25b0644ce5b9dde67076c21421506bdd0030f35956c8d057eeff01529cddc3e0,1254,1254,2026-09-05
94,Pu,Plutonium,actinide,Solid,https://images-of-elements.com/plutonium.php,https://images-of-elements.com/s/plutonium.jpg,originals/094_Pu_Plutonium.jpg,photos/094_Pu_Plutonium.png,specimen_photo,Historical black-and-white photograph of plutonium specimens beside a ruler.,"U.S. Department of Energy, 1945; public-domain photo",Public domain,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,7b38b117743c1f1467672839b243498348d80d13f2359892a5c624d0954d20d1,1254,1254,2026-09-05
95,Am,Americium,actinide,Solid,https://images-of-elements.com/americium.php,https://images-of-elements.com/s/americium.jpg,originals/095_Am_Americium.jpg,photos/095_Am_Americium.png,specimen_photo,Americium-241 source disc under magnification.,Bionerd; reproduced by Chemical Elements — A Virtual Museum,CC BY 3.0,400,400,https://creativecommons.org/licenses/by/3.0/,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,524ce95944f88afe2197cbcafa1e623f7d2ba06156bfca6c35be4c994b1ee678,1254,1254,2026-09-05
96,Cm,Curium,actinide,Solid,https://images-of-elements.com/curium.php,https://images-of-elements.com/s/curium-glow.jpg,originals/096_Cm_Curium.jpg,photos/096_Cm_Curium.png,archival_specimen_photo,Low-resolution archival photograph of emission from a curium sample. Fine surface detail is not resolved.,"© European Union — The Actinide Group, Institute for Transuranium Elements (JRC-ITU); reproduced by Chemical Elements — A Virtual Museum",EU copyright; no image-specific Creative Commons license stated on source,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,4eac35f2f7e3076f9bb780d1aa76eabfc20943e40bbb0b206ede07b37b02587a,1254,1254,2026-09-05
97,Bk,Berkelium,actinide,Solid,https://images-of-elements.com/berkelium.php,https://images-of-elements.com/s/berkelium-ornl.jpg,originals/097_Bk_Berkelium.jpg,photos/097_Bk_Berkelium.png,compound_solution_photo,Berkelium-containing solution; not visible pure berkelium metal.,Oak Ridge National Laboratory / U.S. Department of Energy,Public domain,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,66ca92fa0a7a7a1a13e96e08f0cbf066d6f287f9e10d011cc9a1951d00970afd,1254,1254,2026-09-05
98,Cf,Californium,actinide,Solid,https://images-of-elements.com/californium.php,https://images-of-elements.com/s/californium-disc.jpg,originals/098_Cf_Californium.jpg,photos/098_Cf_Californium.png,specimen_photo,Microscopic californium metal disc; low-resolution historical source.,"United States Department of Energy (see File:Einsteinium.jpg), Public domain, via Wikimedia Commons",Public domain,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,e8dd9dde7b56a56c61a3ef718a0edbac0eab5af00fe384b6bf0d1dfead51cc03,1254,1254,2026-09-05
99,Es,Einsteinium,actinide,Solid,https://images-of-elements.com/einsteinium.php,https://images-of-elements.com/s/einsteinium-253.jpg,originals/099_Es_Einsteinium.jpg,photos/099_Es_Einsteinium.png,specimen_photo,Microscopic einsteinium sample photographed by its emission; not a macroscopic metal chunk.,"Haire, R. G., US Department of Energy.Touched up by Materialscientist at en.wikipedia., Public domain, via Wikimedia Commons",Public domain,400,400,,AI-assisted background replacement; requested light neutral gray #F3F4F4. Not pixel-preserving; consult original for scientific details.,47fe3ed4dd472a4efb6c949400b4894af8fcfa08181e16151bd0b5344dafdbe1,1254,1254,2026-09-05
100,Fm,Fermium,actinide,Solid,https://images-of-elements.com/fermium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
101,Md,Mendelevium,actinide,Solid,https://images-of-elements.com/mendelevium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
102,No,Nobelium,actinide,Solid,https://images-of-elements.com/nobelium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
103,Lr,Lawrencium,actinide,Solid,https://images-of-elements.com/lawrencium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
104,Rf,Rutherfordium,transition metal,Solid,https://images-of-elements.com/rutherfordium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
105,Db,Dubnium,transition metal,Solid,https://images-of-elements.com/dubnium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
106,Sg,Seaborgium,transition metal,Solid,https://images-of-elements.com/seaborgium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
107,Bh,Bohrium,transition metal,Solid,https://images-of-elements.com/bohrium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
108,Hs,Hassium,transition metal,Solid,https://images-of-elements.com/hassium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
109,Mt,Meitnerium,"unknown, probably transition metal",Solid,https://images-of-elements.com/meitnerium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
110,Ds,Darmstadtium,"unknown, probably transition metal",Solid,https://images-of-elements.com/darmstadtium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
111,Rg,Roentgenium,"unknown, probably transition metal",Solid,https://images-of-elements.com/roentgenium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
112,Cn,Copernicium,transition metal,Liquid,https://images-of-elements.com/copernicium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
113,Nh,Nihonium,"unknown, probably transition metal",Solid,https://images-of-elements.com/nihonium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
114,Fl,Flerovium,post-transition metal,Solid,https://images-of-elements.com/flerovium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
115,Mc,Moscovium,"unknown, probably post-transition metal",Solid,https://images-of-elements.com/moscovium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
116,Lv,Livermorium,"unknown, probably post-transition metal",Solid,https://images-of-elements.com/livermorium.php,,,,no_sample_photo,No verified macroscopic sample photo included; source illustration or historical proxy excluded.,,,0,0,,,,0,0,2026-09-05
